OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,INTENSITY // RawImage_MEAN,SHAPE // AREA_(PX^2)
1768,47.5,537,30,33092.14103,78
1769,56.2122449,430.9959184,30,33816.01633,245
1770,68,491,30,33771.06024,249
1771,68,593,30,33082.45872,109
1772,98,416,30,34019.75862,145
1773,101.2412587,547.8636364,30,34081.91608,286
1774,132.9275362,476.9637681,30,33731.23913,276
1775,134,590,30,33662.52209,249
1776,136.6682028,435.8479263,30,33984.30876,217
1777,138,537,30,34283.21285,249
1778,178.1128405,530.7354086,30,33769.37354,257
1779,190.9875776,29.72981366,30,33468.3354,322
1780,186,435,30,33081.66667,69
1781,193,610,30,33487.82902,193
1782,216,583,30,33562.77931,145
1783,226.1184211,270.9276316,30,33193.17105,152
1784,228,66,30,33299.91273,275
1785,232,499,30,33391.26897,145
1786,239.7191601,363.312336,30,33858.28084,381
1787,238,26,30,33363.65217,69
1788,245.4739336,325.4549763,30,33760.52607,211
1789,255.6711111,60.09333333,30,33373.52889,225
1790,263,668,30,33489.14679,109
1791,276,492,30,33394.32414,145
1792,280.0522876,330.9705882,30,33572.9183,306
1793,279,650,30,33525.51111,45
1794,286.1576577,289.4369369,30,33164.51351,222
1795,328,649,30,34087.4,145
1796,345.2931034,268.7672414,30,33148.2931,232
1797,355.3651877,148.1569966,30,33337.20819,293
1798,354.703125,98.95703125,30,33300.08203,256
1799,352,449,30,33730.70345,145
1800,357.5,312,30,33150.14348,230
1801,371,614,30,33668.07772,193
1802,385.5,174,30,33734.96815,314
1803,381,443,30,33782.73103,145
1804,391,676,30,33517.44828,145
1805,415.4926686,140.9002933,30,33743.4868,341
1806,420,645,30,33931.17931,145
1807,471.6893204,183.3300971,30,36511.58252,103
1808,493,470,30,33497.05181,193
1809,500,433,30,33465.68912,193
1810,505.9472422,143.8609113,30,34857.26859,417
1811,543,460,30,33505.81379,145
1812,547,421,30,33470.52414,145
1813,683.4743276,33.43765281,30,33686.90954,409
1814,758,344,30,33106.3211,109
1815,759,380,30,33108.28986,69
1816,771,207,30,33849.53012,249
1817,787,375,30,33198.40367,109
1818,793,166,30,33940.66265,249
1819,801,339,30,33193.80734,109
1820,812.0990099,223.4752475,30,33992.58416,303
1821,852.3950276,203.5469613,30,33749.27901,362
1822,892.3659218,250.7374302,30,33166.05866,358
1823,891,489,30,33094.95652,69
1824,897,516,30,33101.11594,69
1825,925.0350877,267.4666667,30,33164.38947,285
1826,935.4506438,210.0085837,30,33201.69528,233
1827,930,543,30,33804.73575,193
1828,949.4933775,233.8708609,30,33175.31126,302
1829,953.5228571,185.0485714,30,34116.49714,350
1830,948,578,30,33603.44954,109
1831,978,519,30,33828.57513,193
1832,981.5,235,30,35519.73118,186
1833,985,546,30,33582.13103,145
1834,1010,410,30,33867.50345,145
1835,1043,422,30,33920.46207,145
1836,1049,378,30,34020.6789,109
1837,1066,391,30,33901.68966,145
1838,33,542,31,33101.52414,145
1839,49.50431034,471.9482759,31,33801.96552,232
1840,52.82352941,430.2262443,31,33825.25792,221
1841,58.5,592,31,33082.43333,120
1842,68,491,31,33809.48996,249
1843,97.9822695,545.0744681,31,33952.17376,282
1844,100,420,31,33990.02759,145
1845,125.8162544,473.7491166,31,33712.9788,283
1846,135,540,31,34246.61044,249
1847,139,437.5,31,34033.54327,208
1848,143,592,31,33658.11245,249
1849,178.6845878,527.1469534,31,33739.90323,279
1850,192.1563518,27.8534202,31,33483.42997,307
1851,188,442,31,33081.7971,69
1852,194,611,31,33474.88083,193
1853,215,577,31,33585.91034,145
1854,224.5704225,264.3943662,31,33193.04225,142
1855,229.5620155,64.65891473,31,33310.55814,258
1856,231,501,31,33371.93793,145
1857,240.1555024,370.2511962,31,33839.41388,418
1858,239,20,31,33359.71014,69
1859,247.1848739,324.4621849,31,33692.59244,238
1860,256.4158879,65.34579439,31,33347.15421,214
1861,263,668,31,33432.06422,109
1862,276,487,31,33398.06207,145
1863,280,649,31,33510.73333,45
1864,285,334,31,33630.40933,193
1865,290.1081081,285.9099099,31,33161.75225,222
1866,324,651,31,34114.4456,193
1867,345,268,31,33138.5544,193
1868,356.8069705,149.075067,31,33330.21716,373
1869,352,449,31,33733.04828,145
1870,358.3125,98.80952381,31,33292.22024,336
1871,365.5769231,309.6965812,31,33148.96581,234
1872,372,613,31,33686.6943,193
1873,386.5,174,31,33768.71975,314
1874,381,443,31,33793.82759,145
1875,390,675,31,33569.86897,145
1876,416.4082278,137.6803797,31,33748.63608,316
1877,418,650,31,33956.06207,145
1878,462,190,31,35534.30275,109
1879,493,470,31,33484.99482,193
1880,500,434,31,33447.37306,193
1881,501,187,31,35508.20183,109
1882,505.8565489,143.4178794,31,34825.3763,481
1883,543,456,31,33501.42759,145
1884,545,416,31,33481.27586,145
1885,680.229064,32.66256158,31,33695.48276,406
1886,756,384,31,33108.88406,69
1887,762,343,31,33107.27523,109
1888,774,211,31,33884.80723,249
1889,784,373,31,33201.00917,109
1890,794,168,31,33859.53012,249
1891,803,339,31,33186.72414,145
1892,816.2491228,225.1614035,31,34078.3193,285
1893,853.3274336,202.4365782,31,33738.81121,339
1894,892,247.5,31,33168.44712,208
1895,891,489,31,33095.81159,69
1896,897,516,31,33095.63768,69
1897,926,546,31,33807.0829,193
1898,927,267,31,33165.39896,193
1899,943.6233184,204.7174888,31,33207.28251,223
1900,950.9533074,183.6809339,31,34143.7393,514
1901,950.2121212,228.7138047,31,33167.01684,297
1902,955,578,31,33629.88991,109
1903,978,522,31,33965.88601,193
1904,982,546,31,33538.58621,145
1905,981,251,31,36024.62222,45
1906,983,223,31,36048.73333,45
1907,1010,410,31,33888.27586,145
1908,1047,422,31,34084.94495,109
1909,1049,378,31,34025.50459,109
1910,1066,391,31,33912.85517,145
1911,37,541,32,33103.95172,145
1912,48.63855422,472.5301205,32,33788.99197,249
1913,55.47744361,430.0338346,32,33792.92481,266
1914,63,592,32,33086.99083,109
1915,72,492,32,33760.67871,249
1916,94.89726027,540.7636986,32,34058.38699,292
1917,102,420,32,33861.83448,145
1918,127.6006826,476.0341297,32,33749.7099,293
1919,137.483871,434.0829493,32,34075.9447,217
1920,139,544,32,34279.27711,249
1921,143,596,32,33701.16867,249
1922,178.5168539,528.5205993,32,33780.68914,267
1923,192.6088235,29.60882353,32,33475.40294,340
1924,190,442,32,33078.98551,69
1925,194,611,32,33466.23834,193
1926,216,578,32,33515.95862,145
1927,226.5,266,32,33177.39785,186
1928,225.338843,73.57438017,32,33291.04132,242
1929,231,500,32,33415.36552,145
1930,243.25,373.2928571,32,33835.71429,420
1931,239,23,32,33362.15942,69
1932,249.5606061,322.8888889,32,33695.21212,198
1933,263.612069,65.65517241,32,33351.97414,232
1934,269,671,32,33435.12844,109
1935,275,487,32,33401.47586,145
1936,284.8874459,285.8311688,32,33163.7619,231
1937,284,654,32,33419.92661,109
1938,289,334,32,33635.78756,193
1939,334,645,32,34214.40933,193
1940,344,269,32,33134.2287,223
1941,350,449,32,33701.81379,145
1942,355.3687708,148.282392,32,33347.12957,301
1943,358.9634146,312.8902439,32,33147.85772,246
1944,360.951952,97.23123123,32,33299.1021,333
1945,380,613,32,33668.59067,193
1946,388.5,176,32,33776.28025,314
1947,382,444,32,33767.77241,145
1948,388,673,32,33585.69655,145
1949,417.7180095,137.9620853,32,33729.96445,422
1950,415,656,32,33951.85517,145
1951,466,177.5,32,34739.5914,186
1952,493,470,32,33495.33161,193
1953,493,186,32,35306.41284,109
1954,497,434,32,33462.22798,193
1955,511.7235294,141.3529412,32,36363.18824,170
1956,545,416,32,33458.64138,145
1957,552,456,32,33491.65517,145
1958,679.9713604,32.90930788,32,33676.78998,419
1959,750,394,32,33107.58716,109
1960,762,341,32,33106.48624,109
1961,775,216,32,33852.65246,305
1962,784,384,32,33188.18349,109
1963,794,169,32,33859.58233,249
1964,802,344,32,33184.93103,145
1965,817.8784314,223.2392157,32,34121.23529,255
1966,855.4944444,202.3055556,32,33737.50833,360
1967,890,251,32,33178.12953,193
1968,891,489,32,33098.27536,69
1969,897,516,32,33094.7971,69
1970,927,553,32,33789.80829,193
1971,932.9230769,262.8776224,32,33163.45455,286
1972,937.9202128,208.5478723,32,33197.37234,188
1973,948.4752475,180.4488449,32,34428.61056,303
1974,959.4285714,228.0595238,32,33166.17857,252
1975,959,578,32,33616.45872,109
1976,976,524,32,34029.35862,145
1977,981,546,32,33581.41379,145
1978,986,251,32,35057.5942,69
1979,989,228,32,35324.55072,69
1980,1010,410,32,33870.25517,145
1981,1047,422,32,33892.54483,145
1982,1047,377,32,33990.7156,109
1983,1062,390,32,33984.66897,145
1984,34,544,33,33096.21379,145
1985,48.41666667,469.6145833,33,33804.44792,288
1986,59.80592105,424.3190789,33,33733.03289,304
1987,59,589,33,33083.79817,109
1988,69,492,33,33708.751,249
1989,95.13402062,541.8728522,33,33991.81787,291
1990,103,422,33,33827.77241,145
1991,126,475,33,33715.61217,263
1992,140.6014493,540.9384058,33,34345.23188,276
1993,142,596,33,33737.24352,193
1994,149.6486486,442.9594595,33,33998.81081,222
1995,177.0808511,529.6382979,33,33891.09787,235
1996,185,444.5,33,33085.20513,78
1997,194,29.47266881,33,33525.24116,311
1998,194,611,33,33497.73575,193
1999,211,583,33,33510.41379,145
2000,222.7851852,74.75185185,33,33291.22222,270
2001,228.5,262,33,33178.40385,208
2002,225.5,500,33,33416.44937,158
2003,238,21,33,33344.92754,69
2004,243.0620525,375.4725537,33,33830.18377,419
2005,249.4910714,322.9419643,33,33633.43304,224
2006,264.7395349,61.27906977,33,33341.16279,215
2007,265,669,33,33405.66055,109
2008,275,488,33,33415.0069,145
2009,278,650,33,33446.33945,109
2010,284.7617021,284.9914894,33,33167.88936,235
2011,289,335,33,33658.07772,193
2012,328,649,33,34100.11399,193
