OBJECT_ID,CENTROID // MEAN_X_(PX),CENTROID // MEAN_Y_(PX),TIMEPOINT,SHAPE // PROJ_AREA_(PX^2),TRACK_ID
362,640,694,15,1369,33
363,694.6195715,496.3804285,15,1727,29
364,708,821,15,1649,10
365,728,923,15,1941,15
366,831.4527335,181.977221,15,1756,4
367,866.5,760,15,1556,9
368,893.2097674,711.7288372,15,2150,8
369,93.13726027,178.0178082,16,3650,1
370,151,412,16,2809,23
371,219,93.5,16,2724,2
372,246.998375,447.0048749,16,3077,24
373,321,528.5,16,1728,25
374,334.2446873,612.3995143,16,1647,31
375,396,303,16,1739,5
376,422,651,16,1347,32
377,438,434,16,145,16
378,453,524,16,1245,26
379,496,330,16,1739,6
380,500.0702371,615.4626866,16,1139,30
381,528.5,766,16,1010,34
382,533,529,16,1369,27
383,573,40,16,1941,3
384,638,580,16,1789,28
385,640,694,16,1513,33
386,696,496,16,1739,29
387,706,821,16,1649,10
388,728,923,16,1941,15
389,832.3804285,183.3804285,16,1727,4
390,866,760,16,1513,9
391,891.0217134,711.2258192,16,2533,8
392,94.40180135,181.5984488,17,3997,1
393,151,412,17,2809,23
394,218.4060043,94.9617584,17,2798,2
395,247.6977833,441.0761786,17,3203,24
396,324,528,17,1513,25
397,332.8483871,610.8316129,17,1550,31
398,396,301,17,1649,5
399,421.1336146,653.649789,17,1422,32
400,422,423,17,145,22
401,452.5,524,17,1284,26
402,496,331.5,17,1874,6
403,501.5706122,616.9779592,17,1225,30
404,524.996991,767.001003,17,997,34
405,533,528,17,1369,27
406,573,40,17,1941,3
407,632.5232143,695.047619,17,1680,33
408,640,578,17,1789,28
409,697,495,17,1649,29
410,702,816,17,1649,10
411,727,923,17,1941,15
412,833.5472665,184.022779,17,1756,4
413,866.5,760,17,1556,9
414,890.2902677,710.2987675,17,2353,8
415,99.36983574,179.7401692,18,4018,1
416,149,412,18,2809,23
417,219,97.5,18,2614,2
418,248.2054755,450.5887608,18,3470,24
419,323,525,18,1649,25
420,328.459101,609.9889462,18,1357,31
421,396,301,18,1649,5
422,419.418429,652.4660121,18,1324,32
423,417.0394089,419.9876847,18,406,22
424,452,524,18,1245,26
425,496,334,18,1649,6
426,502,618,18,1215,30
427,524.9949444,764.4843276,18,989,34
428,533,528,18,1369,27
429,573,40,18,1941,3
430,629,696,18,1599,33
431,643,574,18,1789,28
432,697,493.5,18,1694,29
433,703,816,18,1649,10
434,727,925,18,1941,15
435,833,182,18,1739,4
436,868,766,18,1513,9
437,892.4969912,712.980177,18,2825,8
438,101.0840296,180.4612079,19,4189,1
439,149,412,19,2809,23
440,220.3981774,96.45916579,19,2853,2
441,247.7302487,447.1989298,19,3177,24
442,323,525,19,1649,25
443,327.1677675,610.1571995,19,1514,31
444,396,301,19,1649,5
445,416.4139535,654.9767442,19,1505,32
446,414.0074627,418.3507463,19,402,22
447,450,522,19,1245,26
448,496,334,19,1649,6
449,501.692637,619.1575342,19,1168,30
450,533,527,19,1369,27
451,528,762,19,793,34
452,573,40,19,1941,3
453,634,686,19,1513,33
454,643,573,19,1789,28
455,695,492,19,1649,29
456,704,816,19,1649,10
457,729,925,19,1941,15
458,831.5238871,182.0081433,19,1842,4
459,867,766,19,1599,9
460,888.6870919,706.3977901,19,1991,8
461,104.2634629,177.243178,20,4141,1
462,149,412,20,2809,23
463,228.2785358,89.81963394,20,3005,2
464,246.8081761,447.2471698,20,3180,24
465,323,525,20,1649,25
466,324.4868863,613.99731,20,1487,31
467,396,301,20,1649,5
468,406.7394541,423.3895782,20,403,22
469,415,656,20,1421,32
470,450,522,20,1245,26
471,496,335.5,20,1694,6
472,497.3710443,618.318038,20,1264,30
473,533,527,20,1369,27
474,528,763,20,855,34
475,573,40,20,1941,3
476,634,686,20,1513,33
477,643,570,20,1789,28
478,696,492.5,20,1784,29
479,699.5,816,20,1694,10
480,729,925,20,1941,15
481,833.5,181,20,1760,4
482,865,766,20,1513,9
483,890.1374172,707.8592715,20,1812,8
484,105.5421527,174.8303287,21,3772,1
485,149,412,21,2809,23
486,226.3030083,89.65857195,21,2759,2
487,248.6364245,446.0599263,21,2987,24
488,323,525,21,1649,25
489,324,612.5,21,1440,31
490,395.5,301,21,1694,5
491,414.4070536,657.9617928,21,1361,32
492,405,419,21,249,22
493,450,522,21,1245,26
494,463,451,21,305,18
495,495.5,336,21,1694,6
496,493,617,21,1145,30
497,533.5,527,21,1410,27
498,528.5,769,21,824,34
499,573,40,21,1941,3
500,632,687,21,1513,33
501,643,572,21,1789,28
502,698,492.5,21,1694,29
503,702,812,21,1649,10
504,728,925,21,1941,15
505,833.5,180,21,1752,4
506,863.5,766,21,1556,9
507,887,710,21,1789,8
508,102.5846774,175.4669355,22,3720,1
509,149,412,22,2809,23
510,230.028292,91.50890674,22,2863,2
511,249.6985408,445.049674,22,3221,24
512,323,525,22,1649,25
513,322.7465008,618.688958,22,1929,31
514,395,300,22,1649,5
515,414,657.5,22,1310,32
516,410,421,22,249,22
517,450,522,22,1245,26
518,470,454,22,305,18
519,493.5,336,22,1694,6
520,491,619,22,1145,30
521,534.5,527,22,1410,27
522,529,764,22,793,34
523,573,40,22,1941,3
524,634,689,22,1245,33
525,643,573,22,1789,28
526,700,489.5,22,1694,29
527,703,813.5,22,1694,10
528,728,924,22,1941,15
529,832,182,22,1829,4
530,863,764,22,1513,9
531,888,710,22,1789,8
532,100.4553497,169.1581421,23,3617,1
533,149,412,23,2809,23
534,225.5,92,23,2744,2
535,253.508161,447.0061661,23,2757,24
536,323,525,23,1649,25
537,321,620.5,23,1574,31
538,394.5,300,23,1694,5
539,415,656.5,23,1310,32
540,409,424,23,305,22
541,449,518,23,1245,26
542,471,455,23,373,18
543,493,336,23,1649,6
544,491,619,23,1145,30
545,535.5,527,23,1410,27
